style,brand,main,n_gallery,gallery_urls
2000,Gildan,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/2000/2000-azalea-front.webp,2,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/2000/2000-azalea-01.webp;https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/2000/2000-azalea-02.webp
2001,American Apparel,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/2001/2001-arctic-front.webp,2,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/2001/2001-arctic-01.webp;https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/2001/2001-arctic-02.webp
2007,American Apparel,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/2007/2007-asphalt-front.webp,2,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/2007/2007-asphalt-01.webp;https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/2007/2007-asphalt-02.webp
2400,Gildan,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/2400/2400-black-front.webp,2,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/2400/2400-black-01.webp;https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/2400/2400-black-02.webp
2408,American Apparel,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/2408/2408-asphalt-front.webp,2,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/2408/2408-asphalt-01.webp;https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/2408/2408-asphalt-02.webp
3000,Gildan,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/3000/3000-black-front.webp,2,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/3000/3000-black-01.webp;https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/3000/3000-black-02.webp
5000,Gildan,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/5000/5000-antique-irish-green-front.webp,2,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/5000/5000-antiqueirishgreen-01.webp;https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/5000/5000-antiqueirishgreen-02.webp
5200,Gildan,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/5200/5200-black-front.webp,2,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/5200/5200-black-01.webp;https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/5200/5200-black-02.webp
5389,American Apparel,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/5389/5389-suededarctic-front.webp,2,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/5389/5389-arctic-01.webp;https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/5389/5389-arctic-02.webp
5400,Gildan,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/5400/5400-ash-grey-front.webp,2,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/5400/5400-ashgrey-01.webp;https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/5400/5400-ashgrey-02.webp
9001,American Apparel,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/9001/9001-black-front.webp,2,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/9001/9001-black-01.webp;https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/9001/9001-black-02.webp
9018,Comfort Colors,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/9018/9018-black-01.webp,2,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/9018/9018-black-01.webp;https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/9018/9018-black-02.webp
9360,Comfort Colors,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/9360/9360-black-front.webp,2,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/9360/9360-black-01.webp;https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/9360/9360-black-02.webp
9410,American Apparel,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/9410/9410-black-front.webp,2,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/9410/9410-black-01.webp;https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/9410/9410-black-02.webp
12500,Gildan,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/12500/12500-safetygreen-front.webp,2,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/12500/12500-safetygreen-01.webp;https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/12500/12500-safetygreen-02.webp
18000,Gildan,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/18000/18000-ash-front.webp,2,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/18000/18000-ash-01.webp;https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/18000/18000-ash-02.webp
18500,Gildan,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/18500/18500-ash-front.webp,2,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/18500/18500-black-01.webp;https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/18500/18500-black-02.webp
18600,Gildan,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/18600/18600-black-front.webp,2,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/18600/18600-black-01.webp;https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/18600/18600-black-02.webp
18900,Gildan,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/18900/18900-black-01.webp,1,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/18900/18900-black-01.webp
19000,Gildan,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/19000/19000-blue-dusk-front.webp,2,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/19000/19000-bluedusk-01.webp;https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/19000/19000-bluedusk-02.webp
