supplier,sku,product_name,source_field,raw_category_path,source_row_count
Gear For Life,DGZP,Dri Gear Zone Polo,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,DGZP(Y),Youth Dri Gear Zone Polo,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,DGZT,Dri Gear Zone Tee,Categorisation + category_ /_ sub category,Clothing / T Shirts,1
Gear For Life,DGZT(Y),Youth Dri Gear Zone Tee,Categorisation + category_ /_ sub category,Clothing / T Shirts,1
Gear For Life,DJ,District Jacket - Mens,Categorisation + category_ /_ sub category,Clothing / Jackets,1
Gear For Life,EGAB,Merino Arctic Beanie,Categorisation + category_ /_ sub category,Clothing / Merino,1
Gear For Life,EGMDP,Merino Detailed Vee Pullover - Mens,Categorisation + category_ /_ sub category,Clothing / Merino,1
Gear For Life,EGMFV,Merino Fully Fashioned Vest - Mens,Categorisation + category_ /_ sub category,Clothing / Merino,1
Gear For Life,EGMSP,Merino Short Sleeve Polo - Mens,Categorisation + category_ /_ sub category,Clothing / Merino,1
Gear For Life,EGMZ,Merino Zip Pullover - Mens,Categorisation + category_ /_ sub category,Clothing / Merino,1
Gear For Life,EJ,Element Jacket - Mens,Categorisation + category_ /_ sub category,Clothing / Jackets,1
Gear For Life,EMJ,Explorer Microfleece Jacket,Categorisation + category_ /_ sub category,Clothing / Fleece,1
Gear For Life,EOE,The End on End Shirt - Mens,Categorisation + category_ /_ sub category,Clothing / Shirts,1
Gear For Life,ES,The Euro Corporate Stripe Shirt - Mens,Categorisation + category_ /_ sub category,Clothing / Shirts,1
Gear For Life,FP,Fusion Polo - Mens,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,FPV,Frontier Puffa Vest,Categorisation + category_ /_ sub category,Clothing / Vests,1
Gear For Life,GPJ,Glacier Puffa Jacket,Categorisation + category_ /_ sub category,Clothing / Jackets,1
Gear For Life,GV,Gravity Vest,Categorisation + category_ /_ sub category,Clothing / Vests,1
Gear For Life,HJ,Hybrid Jacket,Categorisation + category_ /_ sub category,Clothing / Jackets,1
Gear For Life,IGBCPK,BladeCraft Pocket Knife,Categorisation + category_ /_ sub category,Keyrings & Tools / General Tools,1
Gear For Life,IGCGB,ChillGuard 1L Bottle,Categorisation + category_ /_ sub category,Drinkware / Drink Bottles,1
Gear For Life,IGDVC,DryVault Cooler Bag,Categorisation + category_ /_ sub category,Bags / Cooler Bags,1
Gear For Life,IGFLT,FlexLight Torch,Categorisation + category_ /_ sub category,Keyrings & Tools / Torches,1
Gear For Life,IGGGBO,GearGrid Boot Organiser,Categorisation + category_ /_ sub category,Keyrings & Tools / Tool Sets,1
Gear For Life,IGHHC,HardHat Cooler Bag,Categorisation + category_ /_ sub category,Bags / Cooler Bags,1
Gear For Life,IGHSMB,HydraSite 1.9L Mega Bottle,Categorisation + category_ /_ sub category,Drinkware / Drink Bottles,1
Gear For Life,IGLPT,LuminaPro Torch,Categorisation + category_ /_ sub category,Keyrings & Tools / Torches,1
Gear For Life,IGOBT,OptiBeam Torch,Categorisation + category_ /_ sub category,Keyrings & Tools / Torches,1
Gear For Life,IGOISB,On-Ice 21L Sound Box,Categorisation + category_ /_ sub category,Leisure & Outdoors / Coolers,1
Gear For Life,IGSCFAK,SwiftCare First Aid Kit,Categorisation + category_ /_ sub category,Health & Personal / First Aid Kits,1
Gear For Life,IGTTF,ToughTank 2.0L Flask,Categorisation + category_ /_ sub category,Drinkware / Drink Bottles,1
Gear For Life,IGVGMT,VersaGrip Multi Tool,Categorisation + category_ /_ sub category,Keyrings & Tools / Multi Tools,1
Gear For Life,IGWFFJ,WorkFuel 750ml Food Jar,Categorisation + category_ /_ sub category,Drinkware / Drink Bottles,1
Gear For Life,IPJ,Ice Vista Jacket - Mens,Categorisation + category_ /_ sub category,Clothing / Fleece,1
Gear For Life,JO,Jacquard Ottoman Balmoral Polo - Mens,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,JP,Nylon Jac Pac,Categorisation + category_ /_ sub category,Clothing / Jackets,1
Gear For Life,JP(Y),Youth Nylon Jac Pac,Categorisation + category_ /_ sub category,Clothing / Jackets,1
Gear For Life,LV,Legacy Vest - Mens,Categorisation + category_ /_ sub category,Clothing / Vests,1
Gear For Life,MJ,Manager's Jacket,Categorisation + category_ /_ sub category,Clothing / Jackets,1
Gear For Life,MWJ,Melton Wool Ceo Jacket  - Mens,Categorisation + category_ /_ sub category,Clothing / Jackets,1
Gear For Life,NJ,Nordic Jacket,Categorisation + category_ /_ sub category,Clothing / Jackets,1
Gear For Life,NV,Nylon Ottoman Vest,Categorisation + category_ /_ sub category,Clothing / Vests,1
Gear For Life,OAS,Active Shorts - Mens,Categorisation + category_ /_ sub category,Clothing / Shorts,1
Gear For Life,ODGCHP,Dri Gear Challenger Polo,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,ODGEP,Dri Gear Eyelet Polo - Mens,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,ODGIP,Dri Gear Insert Polo,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,ODGMP,Dri Gear Matrix Polo - Mens,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,ODGOL,Dri Gear Ottoman Lite Polo - Mens,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,ODGP,Dri Gear Active Blitz Polo - Mens,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,2
Gear For Life,ODGPO,Dri Gear Piped Ottoman Instinct Polo,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,ODGRFP,Dri Gear Reflex Polo,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,ODGRFZ,Dri Gear Reflex Zip Pullover,Categorisation + category_ /_ sub category,Clothing / Pullovers,1
Gear For Life,ODGS(C),Dri Gear Active Contrast Singlet - Mens,Categorisation + category_ /_ sub category,Clothing / Singlets,1
Gear For Life,ODGS(P),Dri Gear Plain Singlet - Mens,Categorisation + category_ /_ sub category,Clothing / Singlets,1
Gear For Life,ODGSH,Dri Gear Shorts - Mens,Categorisation + category_ /_ sub category,Clothing / Shorts,1
Gear For Life,ODGSP,Dri Gear Spliced Zenith Polo,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,ODGSP(I),Dri Gear Spliced Zenith Impact Polo,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,ODGSS,Dri Gear Spliced Zenith Singlet - Mens,Categorisation + category_ /_ sub category,Clothing / Singlets,1
Gear For Life,ODGST,Dri Gear Spliced Zenith Tee,Categorisation + category_ /_ sub category,Clothing / T Shirts,1
Gear For Life,ODGST(I),Dri Gear Spliced Zenith Impact Tee,Categorisation + category_ /_ sub category,Clothing / T Shirts,1
Gear For Life,ODGT,Dri Gear Active Viper Tee - Mens,Categorisation + category_ /_ sub category,Clothing / T Shirts,1
Gear For Life,ODGTP,Dri Gear Trimmed Polo,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,ODGTT,Dri Gear Twin Piped Tee,Categorisation + category_ /_ sub category,Clothing / T Shirts,1
Gear For Life,ODGVQP,Dri Gear Vanquish Polo – Mens,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,ODGZP,Dri Gear Zone Polo,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,ODGZT,Dri Gear Zone Tee,Categorisation + category_ /_ sub category,Clothing / T Shirts,1
Gear For Life,OEGMC,Merino Crew Pullover - Mens,Categorisation + category_ /_ sub category,Clothing / Wool,1
Gear For Life,OEGMFV,Merino Fully Fashioned Vest - Mens,Categorisation + category_ /_ sub category,Clothing / Merino,1
Gear For Life,OES,The Euro Corporate Stripe Shirt - Mens,Categorisation + category_ /_ sub category,Clothing / Shirts,1
Gear For Life,OGJ,Gravity Jacket,Categorisation + category_ /_ sub category,Clothing / Jackets,1
Gear For Life,OGV,Gravity Vest,Categorisation + category_ /_ sub category,Clothing / Vests,1
Gear For Life,OHJ,Hybrid Jacket,Categorisation + category_ /_ sub category,Clothing / Jackets,1
Gear For Life,OIPV,Ice Vista Vest - Mens,Categorisation + category_ /_ sub category,Clothing / Fleece,1
Gear For Life,OJP,Nylon Jac Pac,Categorisation + category_ /_ sub category,Clothing / Jackets,1
Gear For Life,OMFP,Microfibre Trackpants,Categorisation + category_ /_ sub category,Clothing / Pants,1
Gear For Life,OMHP,Manhattan Polo - Mens,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,OMTS,Training Shorts – Mens,Categorisation + category_ /_ sub category,Clothing / Shorts,1
Gear For Life,OMWJ,Melton Wool Ceo Jacket  - Mens,Categorisation + category_ /_ sub category,Clothing / Jackets,1
Gear For Life,ONTP,Nylon Trackpants,Categorisation + category_ /_ sub category,Clothing / Pants,1
Gear For Life,ONV,Nylon Ottoman Vest,Categorisation + category_ /_ sub category,Clothing / Vests,1
Gear For Life,ORBJ,Rugby Jersey,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,ORSP,Ripstop Trackpants,Categorisation + category_ /_ sub category,Clothing / Pants,1
Gear For Life,ORWP,Retro Waffle Polo - Mens,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,OSJ,Spliced Zenith Jacket,Categorisation + category_ /_ sub category,Clothing / Jackets,1
Gear For Life,OTAX,The Axiom Check Shirt - Mens,Categorisation + category_ /_ sub category,Clothing / Shirts,1
Gear For Life,OTEL,The Evolution Shirt - Mens,Categorisation + category_ /_ sub category,Clothing / Shirts,1
Gear For Life,OTMC,The Montreal Chambray Shirt - Mens,Categorisation + category_ /_ sub category,Clothing / Shirts,1
Gear For Life,OTMT,The Matrix Teflon Shirt - Mens,Categorisation + category_ /_ sub category,Clothing / Shirts,1
Gear For Life,OTNT,Transition Top,Categorisation + category_ /_ sub category,Clothing / Pullovers,1
Gear For Life,OTRLS,The Republic Long Sleeve Shirt – Mens,Categorisation + category_ /_ sub category,Clothing / Shirts,1
Gear For Life,OTSC,The Soho Check Shirt - Mens,Categorisation + category_ /_ sub category,Clothing / Shirts,1
Gear For Life,OTSTP,Twin Stripe Trackpants,Categorisation + category_ /_ sub category,Clothing / Pants,1
Gear For Life,OTSWH,Zip Thru Hoodie – Womens,Categorisation + category_ /_ sub category,Clothing / Pullovers,1
