product_code,product_name,product_url
5011,Ranger 6 Panel Cotton Twill Cap,https://www.intexglobal.com/product/ranger/
5012,Clay 6 Panel Polyester Cap with Flat Visor,https://www.intexglobal.com/product/clay/
5013,Lake 6 Panel Polyester Stretch Cap,https://www.intexglobal.com/product/lake/
5014,Rocky 6 Panel PolyCotton Cap with Curved Visor,https://www.intexglobal.com/product/rocky/
5015,Nixon 6 Panel Cotton Spandex Stretch Cap with Fully Closed Back,https://www.intexglobal.com/product/nixon/
5016,Rays 6 Panel Polyester Stretch Cap,https://www.intexglobal.com/product/rays/
5017,Ashmore 5 Panel Quick Dry Recycled Nylon Eco Cap with Flat Visor,https://www.intexglobal.com/product/ashmore/
5018,Freshwater Quick Dry Recycled Nylon Eco Bucket Hat,https://www.intexglobal.com/product/freshwater/
5019,Odyssey 5 Panel PolyCotton Cap with Striped Mesh Sides,https://www.intexglobal.com/product/odyssey/
5020,Pace 6 Panel Eco Cap with Curved Sandwich Visor,https://www.intexglobal.com/product/pace/
5021,Discovery 6 Panel Brushed Cotton Baseball Cap,https://www.intexglobal.com/product/discovery/
5022,Alphard 5 Panel Nylon Foam Trucker Cap,https://www.intexglobal.com/product/alphard/
OCB100,Warm Knitted Acrylic Beanie,https://www.intexglobal.com/product/warm-knitted-acrylic-beanie/
OCBH01,Cotton Bucket Hat,https://www.intexglobal.com/product/cotton-bucket-hat/
OCP700MS,Men's Prime Polo,https://www.intexglobal.com/product/mens-prime-polo/
OCP700LS,Women's Prime Polo,https://www.intexglobal.com/product/womens-prime-polo/
OCP100MS,Men's Sundance Polo,https://www.intexglobal.com/product/mens-sundance-polo/
OCP100LS,Women's Sundance Polo,https://www.intexglobal.com/product/womens-sundance-polo/
5101,Colorado Backpack,https://www.intexglobal.com/product/colorado-backpack/
5103,Eiger Backpack,https://www.intexglobal.com/product/eiger-backpack/
5102,Fitzroy Backpack,https://www.intexglobal.com/product/fitzroy-backpack/
5105,Fairweather Backpack,https://www.intexglobal.com/product/fairweather-backpack/
5104,Blackburn Backpack,https://www.intexglobal.com/product/blackburn-backpack/
PS4356,Paradise 12L Cooler Box,https://www.intexglobal.com/product/paradise-12l-cooler-box/
NWTB3035,Non-Woven Garment Bag,https://www.intexglobal.com/product/non-woven-garment-bag/
NWTB30,Blueys Tote Bag,https://www.intexglobal.com/product/blueys-tote-bag/
NWTB3391,Heat Sealed Non-Woven Exhibition Tote,https://www.intexglobal.com/product/heat-sealed-non-woven-exhibition-tote/
NWTB14,Longreef 2 Bottle Bag,https://www.intexglobal.com/product/longreef-2-bottle-bag/
NWTB15,Shelly 6 Bottle Bag,https://www.intexglobal.com/product/shelly-6-bottle-bag/
NWTB20,Curl Sling Bag,https://www.intexglobal.com/product/curl-curl-sling-bag/
OCWINETOTE4,Non-Woven Polypropylene 4-Bottle Wine Tote Bag,https://www.intexglobal.com/product/non-woven-polypropylene-4-bottle-wine-tote-bag/
OCBAB101,Recession Buster Non-Woven Tote Bag,https://www.intexglobal.com/product/recession-buster-non-woven-tote-bag/
OCBAB104,Non-Woven Essential Briefcase Tote With Zipper Closure,https://www.intexglobal.com/product/non-woven-essential-briefcase-tote-with-zipper-closure/
OCBAB105,Non-Woven Laundry Duffel Bag With Over The Shoulder Strap,https://www.intexglobal.com/product/non-woven-laundry-duffel-bag-with-over-the-shoulder-strap/
OCBMS130,Shopping Bag Extra Large Non Woven,https://www.intexglobal.com/product/shopping-bag-extra-large-non-woven/
CALB20,Coloured Cotton Tote,https://www.intexglobal.com/product/coloured-cotton-tote/
OCC018,Recycled Cotton Tote Bag,https://www.intexglobal.com/product/recycled-cotton-tote-bag/
OCBBP1010,Cotton Canvas Tote Bag With Zipper Closure,https://www.intexglobal.com/product/cotton-canvas-tote-bag-with-zipper-closure/
OCBSB104,The Overnight Duffel Bag,https://www.intexglobal.com/product/the-overnight-duffel-bag/
OCBMS158,Canvas Drawstring Wine Gift Bag,https://www.intexglobal.com/product/canvas-drawstring-wine-gift-bag/
COLB01,Perisher Cooler Bag,https://www.intexglobal.com/product/perisher-cooler-bag/
COLB03,Smiggins Cooler Bag,https://www.intexglobal.com/product/smiggins-cooler-bag/
COLB16,Monaro Cooler Bag,https://www.intexglobal.com/product/monaro-cooler-bag/
OC24X141,Frostbite Cooler Bag,https://www.intexglobal.com/product/frostbite-cooler-bag/
OC24X148,Frostbite Jumbo 30-Can Cooler,https://www.intexglobal.com/product/frostbite-jumbo-30-can-cooler/
NWTB09,Non Woven Drawstring Bag,https://www.intexglobal.com/product/non-woven-drawstring-bag/
DUFB34,Clear PVC Drawstring Bag,https://www.intexglobal.com/product/clear-pvc-drawstring-bag/
DUFB33,Economy Duffle Bag,https://www.intexglobal.com/product/economy-duffle-bag/
OCBMS115,Full Colour Printed Drawstring Backpack,https://www.intexglobal.com/product/full-colour-printed-drawstring-backpack/
OCBMS152,Drawstring Cooler Pack,https://www.intexglobal.com/product/drawstring-cooler-pack/
OC35X230,Big Drawstring Shoe Pouch,https://www.intexglobal.com/product/big-drawstring-shoe-pouch/
OCBB01,Levin Tote Bag,https://www.intexglobal.com/product/levin-tote-bag/
OCBB11,Renwick Boutiquer Bag,https://www.intexglobal.com/product/renwick-boutiquer-bag/
