supplier_sku,name,unmatched_positions,PrintArea,PriceLines
LL8363,The Generous Host,Digital Sleeve: ; Digital Print: Customisable Card,"Digital Sleeve: 190.5 x 730mm (LxW); Laser Engrave: Cheeseboard - 45 x 10mm (LxW); Screen Print: Front of Candle - 50 x 50mm (LxW),  Gift Box - 290 x 150mm (LxW); Label: Mailing Box - 120mm Diameter; Digital Print: Customisable Card - 138 x 95mm (LxH),  Candle Lid - 55mm Diameter","The Generous Host | Digital Sleeve on Gift Box | 1 Col 1 Pos Print on Front of Candle | 1 Pos Laser Engrave on Serving Board | 1 Pos Digital Print on Lid on Candle | 1 Pos Label on Mailing Carton | 1 Col 1 Pos Screen Print on Gift Box | Customisable Card | Variable Data - Customisable Card, Label, Digital Print, Laser Engrave or Digital Sleeve with ID Label on Shipping Box | 2 Pos Print (1 x Digital Sleeve, 1 x Screen Print)"
LL8383,The Happy Pup Pack,Digital Print: Customisable Card,"Digital Transfer: Wet Bag - 210 x 285mm (LxH),  Dog Toy - Front/Back - 70 x 70mm (LxH); Digital Print: Waste Bag Dispenser - 25 x 20mm (LxH),  Bottle - 30 x 50mm (LxH),  Customisable Card - 138 x 95mm (LxH); Laser Engrave: Brush -Bristles Side/Pins Side - 55 x 14mm (LxH),  Bottle - Inside of Bowl - 15 x 40mm (LxH); Screen Print: Wet Bag - 230 x 180mm (LxH),  Bowl - 70mm Diameter","The Happy Pup Pack | 6 Pos Print (2 x Screen, 2 x Digital, 1 x Transfer, 1 x Laser) | 1 Col 1 Pos Print on Bag | 1 Pos Digital Transfer - Large on Bag | 1 Pos Digital Print on Waste Dispenser | 1 Pos Digital Print on Bottle | 1 Pos Laser Engrave on Bottle | 1 Pos Laser Engrave on Brush | 1 Pos Screen Print on Bowl | 1 Pos Digital Transfer on Tug Toy | Variable Data - Digital Transfer, Customisable Card, Label, Digital Print, Laser Engrave or Digital Sleeve with ID Label on Shipping Box"
LL8391,The Perfect Pairing,Custom Gift Box Sleeve: ; Digital Print: Customisable Card,Custom Gift Box Sleeve: 190.5 x 730mm (LxW); Digital Print: Customisable Card - 138 x 95mm (LxW); Screen Print: Gift Box - 290 x 150mm (LxW); Label: Mailing Box - 120mm Diameter,The Perfect Pairing | Digital Sleeve on Gift Box | 1 Col 1 Pos Screen Print on Gift Box | Customisable Card | 1 Pos Label on Mailing Carton | 1 Pos Digital Sleeve
LL8747,Thor Protein Shaker / Storage Cup,Screen Print: ,Pad Print: 50 x 40mm (LxH); Screenprint: 70 x 70mm (LxH),1 Col 1 Pos Pad Print | 1 Col 1 Pos Screenprint
LL8798,Banquet Cutlery Set in Calico Pouch,Laser Engrave: Cutlery,Screenprint: Pouch - 45 x 140mm (LxH); Laser Engraved: Cutlery - 50 x 5mm (LxH); Digital Transfer: Pouch - 45 x 140mm (LxH),1 Col 1 Pos Print | 1 Col 2 Pos Print | 1 Pos Digital Transfer | 2 Pos Digital Transfer | 3 Position Laser on Cutlery | Variable Data - Digital Transfer or Laser Engrave with ID Label
LL8800,Banquet Stainless Steel Cutlery & Straw Set in Calico Pouch,Laser Engrave: Cutlery; Laser Engrave: Straws - Base,"Screenprint: Pouch - 45 x 140mm (LxH); Laser Engraved: Cutlery - 50 x 5mm (LxH),  Straws - Base - 50 x 3mm (LxH) Top - 35 x 3mm (LxH); Digital Transfer: Pouch - 45 x 140mm (LxH)",1 Col 1 Pos Print on Pouch | 1 Col 2 Pos Print on Pouch | Digital Transfer 1 Pos Pouch | Digital Transfer 2 Pos Pouch | Laser Engraved on Cutlery - 3 Pos | Laser Engraved on Straws - 2 Pos | Variable Data - Digital Transfer or Laser Engrave with ID Label
LL8808,Savour Cutlery Set in Pouch,Laser Engrave: Cutlery,Screenprint: Pouch - 45 x 140mm (LxH); Digital Transfer: Pouch - 45 x 140mm (LxH); Laser Engraved: Cutlery - 50 x 5mm (LxH),1 Col 1 Pos Print on Pouch | 1 Col 2 Pos Print on Pouch | 1 Pos Digital Transfer Pouch | 2 Pos Digital Transfer Pouch | 3 Position Laser on Cutlery | Variable Data - Digital Transfer or Laser Engrave with ID Label
LL88120,Coco Plush Teddy Bear,Screen Print: Front,Screen Print: Front - 70 x 45mm (LxH); Digital Transfer: Front - 60 x 60mm (LxH),1 Col 1 Pos Print on T-Shirt | Digital Transfer on T-Shirt | Custom Colour T-Shirt 1 Col 1 Pos Print | Custom Colour T-Shirt 2 Col 1 Pos Print | Variable Data - Digital Transfer
LL88125,Coconut Plush Teddy Bear,Screen Print: Front,Screen Print: Front - 70 x 45mm (LxH); Digital Transfer: Front - 60 x 60mm (LxH),1 Col 1 Pos Print on T-Shirt | Digital Transfer on T-Shirt | Custom Colour T-Shirt 1 Col 1 Pos Print | Custom Colour T-Shirt 2 Col 1 Pos Print | Variable Data - Digital Transfer
LL88306,Korporate Koala,Screen Print: Front,Screen Print: Front - 70 x 45mm (LxH); Digital Transfer: Front - 60 x 60mm (LxH),1 Col 1 Pos Print on T-Shirt | Digital Transfer on T-Shirt | Custom Colour T-Shirt 1 Col 1 Pos Print | Custom Colour T-Shirt 2 Col 1 Pos Print | Variable Data - Digital Transfer
LL9075,Morocco Phone Stand,Digital Print: Larger Side; Digital Print: Smaller Side; Laser Engrave: Larger Side; Laser Engrave: Smaller Side; Pad Print: Larger Side; Pad Print: Smaller Side,"Digital Print: Larger Side - 95 x 25mm (WxH),  Smaller Side - 25 x 25mm (WxH); Laser Engrave: Larger Side - 95 x 25mm (WxH),  Smaller Side - 25 x 25mm (WxH); Pad Print: Larger Side - 50 x 30mm (WxH),  Smaller Side - 20 x 20mm (WxH)",1 Col 1 Pos Pad Print - Sml | 1 Col 1 Pos Pad Print - Lrg | 1 Pos Digital Print - Sml | 1 Pos Digital Print - Lrg | 1 Pos Laser Engrave - Sml | 1 Pos Laser Engrave - Lrg | Variable Data - Digital Print or Laser Engrave
